,Release Date,Season,Episode,Episode Title,Name,Sentence,emotion_label,emotion_score
42,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You did well.,neutral,0.6610082387924194
43,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You understand why I did it?,surprise,0.5485744476318359
44,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Jon said he was a deserter.,disgust,0.5175106525421143
45,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,But do you understand why I had to kill him?,anger,0.448323130607605
46,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Our way is the old way?,neutral,0.8701439499855042
47,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The man who passes the sentence should swing the sword.,anger,0.4762665629386902
48,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Is it true he saw the White Walkers?,surprise,0.7165472507476807
49,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The White Walkers have been gone for thousands of years.,neutral,0.9359434247016907
50,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,So he was lying?,surprise,0.33806857466697693
51,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,A madman sees what he sees.,anger,0.4970565140247345
52,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What is it?,surprise,0.5850769281387329
53,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Mountain lion?,neutral,0.571818470954895
54,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,There are no mountain lions in these woods.,neutral,0.8922235369682312
55,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,It's a freak.,disgust,0.7113785147666931
56,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's a direwolf.,disgust,0.4223426580429077
57,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tough old beast.,disgust,0.5945839285850525
58,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,There are no direwolves south of the Wall.,neutral,0.9180469512939453
59,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Now there are five.,neutral,0.8109205365180969
60,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You want to hold it?,anger,0.3967694342136383
61,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Where will they go? Their mother's dead.,sadness,0.6840713620185852
62,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,They don't belong down here.,neutral,0.494937539100647
63,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Better a quick death. They won't last without their mother.,neutral,0.5008941888809204
64,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Right. Give it here.,neutral,0.8379881978034973
65,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,NO!,anger,0.3283572494983673
66,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Put away your blade.,anger,0.7931814789772034
67,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"I take orders from your father, not you.",anger,0.6864615082740784
68,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,"Please, father!",anger,0.44347673654556274
69,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"I'm sorry, Bran.",sadness,0.8756554126739502
70,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,neutral,0.9567826390266418
71,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",anger,0.3991626501083374
72,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What about you?,surprise,0.3835502564907074
73,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I'm not a Stark. Get on.,anger,0.7058917880058289
74,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,What is it?,surprise,0.5850769281387329
75,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"The runt of the litter. That one's yours, Snow.",neutral,0.7360535860061646
76,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"As your brother, I feel it's my duty to warn you",fear,0.8997836112976074
77,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",fear,0.9411090016365051
78,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",fear,0.8835877180099487
79,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,What if Jon Arryn told someone?,anger,0.5744749903678894
80,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,But who would he tell?,neutral,0.47003093361854553
81,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,My husband.,sadness,0.9185436367988586
82,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",anger,0.774837076663971
83,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,You should be the Hand of the king.,disgust,0.3538665771484375
84,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short.",neutral,0.716787576675415
85,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,All these years and I still feel like an outsider when I come here.,neutral,0.30645495653152466
86,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You have five northern children. You're not an outsider.,neutral,0.9583103656768799
87,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I wonder if the old gods agree.,surprise,0.9607738852500916
88,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's your gods with all the rules.,neutral,0.9269111752510071
89,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"I am so sorry, my love.",sadness,0.9784905314445496
90,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me.,neutral,0.8325088620185852
91,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,sadness,0.5987623333930969
92,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your sister. The boy …,neutral,0.6324612498283386
93,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,neutral,0.8705742359161377
94,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He's coming this far North, there's only one thing he's after.",neutral,0.9505849480628967
95,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"You can always say no, Ned.",neutral,0.5494971871376038
96,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,neutral,0.9116387367248535
97,2011-04-17,Season 1,Episode 1,Winter is Coming,maester luwin,I'm told he drinks all night.,neutral,0.7257022857666016
98,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How much could he possibly drink? A man of his … stature.,surprise,0.46754539012908936
99,2011-04-17,Season 1,Episode 1,Winter is Coming,luwin,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,neutral,0.9101256132125854
100,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"In any case, candles.",neutral,0.8996877670288086
101,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Why's your mother so dead-set on us getting pretty for the king?,anger,0.635725200176239
102,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]",disgust,0.47385117411613464
103,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,I hear the prince is a right royal prick.,disgust,0.7732499241828918
104,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.,anger,0.5241384506225586
105,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",neutral,0.5838605165481567
106,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",disgust,0.4615754783153534
107,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I saw the king! He's got hundreds of people!,surprise,0.7770422101020813
108,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How many times have I told you,surprise,0.6572554707527161
109,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,But he's coming right now! Down our road!,anger,0.4840583801269531
110,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I want you to promise me,neutral,0.5457676649093628
111,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I promise.,neutral,0.7003603577613831
112,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,D'you know what?,surprise,0.6594973206520081
113,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What?,surprise,0.9222372174263
114,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,neutral,0.3577551543712616
115,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Where's Arya? Sansa, where's your sister?",neutral,0.4417218863964081
116,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",joy,0.45774558186531067
117,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Move!,anger,0.5051326751708984
118,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your Grace.,neutral,0.8369209170341492
119,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,You've got fat.,disgust,0.8674314618110657
120,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Cat!,surprise,0.32890453934669495
121,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Your Grace.,neutral,0.8369209170341492
122,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Nine years. Why haven't I seen you? Where the hell have you been?,anger,0.5048760175704956
123,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Guarding the North for you, Your Grace. Winterfell is yours.",neutral,0.7416477799415588
124,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Where's the Imp?,neutral,0.8206886053085327
125,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Will you shut up?,anger,0.9084864854812622
126,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",surprise,0.8565863370895386
127,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Arya.,neutral,0.49944689869880676
128,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ooh. Show us your muscles. You'll be a soldier.,neutral,0.4123053550720215
129,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,That's Jaime Lannister. The queen's twin brother.,neutral,0.8435059189796448
130,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Would you please shut up.,anger,0.6995353102684021
131,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,My queen.,disgust,0.35867470502853394
132,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,My queen.,disgust,0.35867470502853394
133,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Take me to your crypt. I want to pay my respects.,sadness,0.7226005792617798
134,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"We've been riding for a month, my love. Surely the dead can wait.",neutral,0.7636501789093018
135,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ned.,neutral,0.7750338912010193
136,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,Where is our brother? Go find the little beast.,neutral,0.7900726199150085
137,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me about Jon Arryn.,neutral,0.931814432144165
138,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",disgust,0.5156697034835815
139,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,We both did.,neutral,0.9015775918960571
140,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",disgust,0.529771625995636
141,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Aye.,neutral,0.5630276203155518
142,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",anger,0.7837951183319092
143,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,I'm not worthy of the honor.,sadness,0.9102966785430908
144,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",anger,0.7044371366500854
145,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Mmh. It is true what they say about the Northern girls.,disgust,0.5050238966941833
146,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Did you hear the king's in Winterfell?,surprise,0.6073129773139954
147,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I did hear something about that.,neutral,0.7858846187591553
148,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,neutral,0.7930071949958801
149,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,And the other brother?,surprise,0.6231829524040222
150,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,The queen has two brothers?,neutral,0.504592776298523
151,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,There's the pretty one. And there's the clever one.,neutral,0.6543481349945068
152,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,I hear they call him the Imp.,neutral,0.7373398542404175
153,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I hear he hates that nickname.,disgust,0.5963751673698425
154,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,disgust,0.40775197744369507
155,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Clever girl.,neutral,0.48150429129600525
156,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,"We've been expecting you, Lord Tyrion.",neutral,0.8360232710838318
157,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Have you?,neutral,0.6100189089775085
158,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,The gods gave me one blessing.,joy,0.5461735725402832
159,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,Don't get up.,anger,0.38921117782592773
160,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,M'lord.,neutral,0.5880470275878906
161,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",disgust,0.6346654891967773
162,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"You've much to teach me, no doubt. But our sister craves your attention.",neutral,0.6185327172279358
163,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"She has odd cravings, our sister.",neutral,0.6038069128990173
164,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",disgust,0.4863974452018738
165,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",sadness,0.7876883149147034
166,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.",neutral,0.7554272413253784
167,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Close the door!,anger,0.4975575804710388
168,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,disgust,0.49567797780036926
169,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,She was my sister. This is where she belongs.,neutral,0.9462548494338989
170,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,She belonged with me.,neutral,0.7505422234535217
171,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"In my dreams, I kill him every night.",fear,0.8815402388572693
172,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"It's done, Your Grace. The Targaryens are gone.",neutral,0.8993969559669495
173,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Not all of them.,neutral,0.9121020436286926
174,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Daenerys!,surprise,0.4307667911052704
175,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,surprise,0.3025972247123718
176,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,We've been his guests for over a year and he's never asked us for anything.,neutral,0.9159724712371826
177,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",anger,0.4192226231098175
178,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,No.,neutral,0.8298870921134949
179,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"When they write the history of my reign, sweet sister, they will say it began today.",neutral,0.9749301671981812
180,2011-04-17,Season 1,Episode 1,Winter is Coming,maid,"It's too hot, my lady.",sadness,0.4567568898200989
181,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Where is he?,neutral,0.6363353133201599
182,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The Dothraki are not known for their punctuality.,neutral,0.8858745098114014
183,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",joy,0.5289657711982727
184,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.",disgust,0.7102148532867432
185,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Come forward, my dear.",neutral,0.5597774982452393
186,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Where's he going?,neutral,0.45960533618927
187,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The ceremony is over.,joy,0.4703047573566437
188,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,But he didn't say anything. Did he like her?,disgust,0.5055635571479797
189,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Trust me, Your Grace. If he didn't like her, we'd know.",fear,0.4299342632293701
190,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.,anger,0.571627140045166
191,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,When will they be married?,neutral,0.5802293419837952
192,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,Soon. The Dothraki never stay still for long.,neutral,0.8350410461425781
193,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Is it true they lie with their horses?,disgust,0.3826380670070648
194,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I wouldn't ask Khal Drogo.,neutral,0.930298924446106
195,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,Do you take me for a fool?,anger,0.8955250382423401
196,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.,anger,0.8380236029624939
197,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,I know how to play a man like Drogo. I give him a queen and he gives me an army.,neutral,0.896835207939148
198,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't want to be his queen. I want to go home.,sadness,0.935188889503479
199,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",sadness,0.4595910906791687
200,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't know.,surprise,0.6272882223129272
201,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys,"We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took.",anger,0.6867390275001526
202,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Do you think Joffrey will like me? What if he thinks I'm ugly?,disgust,0.5632407069206238
203,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Then he is the stupidest prince that ever lived.,disgust,0.4991103708744049
204,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,He's so handsome.,neutral,0.4931783080101013
205,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,When would we be married? Soon or do we have to wait?,neutral,0.7629024386405945
206,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Hush now. Your father hasn't even said yes.,disgust,0.6346568465232849
207,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Why would he say no? He'd be the second most powerful man in the kingdoms.,anger,0.5691406726837158
208,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,He'd have to leave home. He'd have to leave me. And so would you.,neutral,0.49921759963035583
